FQDN Comments                             date                comment
3.21.43.5                                ?                   ?				
3.22.66.161                               2022-08-28          ec2-3-22-66-161.us-east-2.compute.amazonaws.com					
3.22.70.135                               2022-08-28          ec2-3-22-70-135.us-east-2.compute.amazonaws.com		
3.22.187.24                               2022-08-28          added, active
3.64.250.53                               2022-08-28          ec2-3-64-250-53.eu-central-1.compute.amazonaws.com					
3.64.251.85                               2022-08-28          ec2-3-64-251-85.eu-central-1.compute.amazonaws.com					
3.66.29.156                               2022-08-28          ec2-3-66-29-156.eu-central-1.compute.amazonaws.com										
3.67.34.92                                ?                   ?				
3.68.183.249                              2022-08-28          ec2-3-68-183-249.eu-central-1.compute.amazonaws.com					
3.68.27.193                               2022-08-28          ec2-3-68-27-193.eu-central-1.compute.amazonaws.com					
3.69.165.224                              2022-08-28          ec2-3-69-165-224.eu-central-1.compute.amazonaws.com					
3.69.19.58                                2022-08-28          ec2-3-69-19-58.eu-central-1.compute.amazonaws.com					
3.69.241.162                              2022-08-28          ec2-3-69-241-162.eu-central-1.compute.amazonaws.com									
3.70.173.240                              2022-08-28          added, active								
3.70.173.52                               2022-08-28          forum-tip, seems ok		
3.70.205.7                                2022-08-28          ec2-3-70-205-7.eu-central-1.compute.amazonaws.com					
3.70.226.171                              2022-08-28          ec2-3-70-226-171.eu-central-1.compute.amazonaws.com								
3.72.0.27                                 2022-08-28          ec2-3-72-0-27.eu-central-1.compute.amazonaws.com					
3.72.73.233                               2022-08-28          ec2-3-72-73-233.eu-central-1.compute.amazonaws.com					
3.73.159.42                               2022-08-28          ec2-3-73-159-42.eu-central-1.compute.amazonaws.com					
34.209.191.57                             2022-08-28          added, active
34.209.232.166                            2022-08-28          ec2-34-209-232-166.us-west-2.compute.amazonaws.com	
34.211.11.88                              2022-08-28          ec2-34-211-11-88.us-west-2.compute.amazonaws.com					
34.211.6.84                               2022-08-28          ec2-34-211-6-84.us-west-2.compute.amazonaws.com													
34.211.60.134                             ?                   ?				
34.215.121.14                             2022-08-28          ec2-34-215-121-14.us-west-2.compute.amazonaws.com					
34.216.130.13                             2022-08-28          ec2-34-216-130-13.us-west-2.compute.amazonaws.com					
34.216.192.11                             2022-08-28          ec2-34-216-192-11.us-west-2.compute.amazonaws.com									
34.217.107.185                            2022-08-28          ec2-34-217-107-185.us-west-2.compute.amazonaws.com					
34.219.87.132                             2022-08-28          ec2-34-219-87-132.us-west-2.compute.amazonaws.com								
34.220.126.78                             2022-07-02          forum-tip, not verified by astromeier
34.220.82.248                             2022-08-28          ec2-34-220-82-248.us-west-2.compute.amazonaws.com					
